,fighter,height,reach,stance,dob,fighter_id
55,Marcio Alexandre Junior,72.0,75.0,Southpaw,1989-05-05,d53482bef23235ba
56,Olaf Alfonso,74.0,,Orthodox,,b757c73f443d4fca
57,Pablo Alfonso,68.0,,,1983-05-09,4b37a0bc2ab4cae1
58,Levi Alford,,,,,41b34b7f11f6d085
59,Bill Algeo,72.0,73.0,Switch,,9abc648e76c4493a
60,Royce Alger,70.0,,Orthodox,,669a3cb6e394f515
61,Amir Aliakbari,75.0,,,,e17770faae3ca54c
62,Sultan Aliev,71.0,74.0,Orthodox,,e70de1859b7ee78e
63,John Allan,73.0,75.0,Orthodox,,6ebe96a116e79e52
64,George Allen,74.0,,Open Stance,,1e13936d708bcff7
65,Arnold Allen,68.0,70.0,Southpaw,,040a74bb0a465c54
66,Brendan Allen,74.0,75.0,Orthodox,,2f181c0467965b98
67,Ben Alloway,71.0,76.0,Orthodox,,c4fe2e9a06ea5bcb
68,Ricardo Almeida,72.0,74.0,Orthodox,,91186547a7f3f758
69,Magno Almeida,72.0,,,,d615d6a10a4704cd
70,Thomas Almeida,67.0,70.0,Southpaw,,2b074403b7c6cdb4
71,Ericka Almeida,66.0,,Orthodox,,67a992d4cff22466
72,Estefani Almeida,64.0,,Orthodox,,f16ddfa31236efed
73,Jailton Almeida,75.0,79.0,Orthodox,,41e83a89929d1327
74,Lucas Almeida,71.0,71.0,Orthodox,,710f0f8c5d5c9d41
75,Mauricio Alonso,74.0,,,,c6bf75775b278ed8
76,Sarah Alpar,64.0,63.0,Southpaw,,49b130de1da2e1bf
77,Ali AlQaisi,66.0,68.0,Orthodox,,e87a13e02c01331d
78,Rico Altamirano,70.0,,,,c61b49cec6abd6b9
79,Victor Altamirano,68.0,70.0,Switch,,dc7927cd622676a7
80,Mike Altman,70.0,,Orthodox,,c11036da9162cb5f
81,Sean Alvarez,72.0,,Orthodox,,e741536153227386
82,Eddie Alvarez,69.0,69.0,Orthodox,,33a331684283900f
83,Jaime Alvarez,68.0,69.0,Orthodox,,4438482bd1d5a029
84,Joel Alvarez,75.0,77.0,Orthodox,,58bbef3770bb2dfc
85,Thiago Alves,69.0,70.0,Orthodox,,31ee470ef5dc8d7f
86,Anthony Alves,,,,,bd92cf5da5413d2a
87,Amilcar Alves,72.0,,Southpaw,,dc5a6b2fdb27e7dc
88,Warlley Alves,71.0,72.0,Orthodox,,d317a5e2b3f88c5f
89,Rafael Alves,68.0,68.0,Orthodox,,029afd138865d20a
90,Sam Alvey,74.0,75.0,Southpaw,1986-05-06,d156513a19acf856
91,Andre Amado,72.0,,Orthodox,,20821819c401ced8
92,Adlan Amagov,74.0,76.0,Orthodox,,1e327b281ef6a745
93,Maiara Amanajas dos Santos,65.0,,Southpaw,,247fbbfafea60bb1
94,Chris Amarante,,,,,ee0b69e307c857e5
95,Jimmy Ambriz,74.0,,Southpaw,,c912f676692c353a
96,JJ Ambrose,70.0,,Orthodox,,d562b12b8fe88336
97,Alen Amedovski,70.0,74.0,Orthodox,,70fa1c64a2c439ef
98,Makwan Amirkhani,70.0,72.0,Southpaw,,87a1dc546b1c5caf
99,Bertrand Amoussou,68.0,,Orthodox,,53adf5b845d91e4a
100,Karl Amoussou,71.0,,Orthodox,,23a8c33869bf5392
101,Eryk Anders,73.0,75.0,Southpaw,,cad24459b28592ca
102,Matt Andersen,74.0,,Southpaw,1971-05-29,8738eacd62e82a32
103,Andy Anderson,66.0,,,,9199e0735b83dd32
104,Lowell Anderson,66.0,,Orthodox,,1ffc38f67785797b
105,Corey Anderson,75.0,79.0,Orthodox,,5e4eec08896c9423
106,Derek Anderson,72.0,,,,19ba965651486013
107,Megan Anderson,72.0,72.0,Orthodox,,a0e75f4a13eb73f1
108,Alex Andrade,71.0,,Orthodox,1974-05-14,1562b12763cc8d67
109,Jessica Andrade,61.0,62.0,Orthodox,,6a1901c62ab3870f
110,Viscardi Andrade,71.0,75.0,Orthodox,,d221ee27afc7a60e
111,Jermaine Andre,67.0,,Orthodox,,9bad58fa651d6196
112,Dylan Andrews,73.0,74.0,Switch,,00debc804e2b1cd4
113,Reese Andy,72.0,,Orthodox,,46e2ca71fd5089cb
114,Julius Anglickas,75.0,,Orthodox,,e20ad078a7d63361
115,Collin Anglin,69.0,71.0,Orthodox,,047a91d3d9c79b05
116,Chad Anheliger,66.0,64.0,Orthodox,,c7c39e2fb70248b3
117,Yoji Anjo,71.0,,Orthodox,,e06fd1260ac865a7
118,Magomed Ankalaev,75.0,75.0,Orthodox,,d802174b0c0c1f4e
119,Gadzhimurad Antigulov,71.0,70.0,Orthodox,,af997f7611673880
120,Adam Antolin,65.0,63.0,Orthodox,,25b31165758402dd
121,Angelo Antonio,,,Orthodox,,dbd198f780286aca
122,Azunna Anyanwu,73.0,,Orthodox,,78d48d3874dacafd
123,Shinsho Anzai,67.0,70.0,Orthodox,,4665f9f909cd7214
124,Shinya Aoki,71.0,,Southpaw,1983-05-09,79ded75550efc139
125,Aoriqileng,67.0,69.0,Orthodox,,7d420039bbfe7c1a
126,Josh Appelt,70.0,,Southpaw,,0c1a04afca64e38f
127,Erik Apple,72.0,,Orthodox,,1ccff7f0cfdf85eb
128,Kenji Arai,70.0,,Southpaw,,269d103c96a4c3a5
129,Romie Aram,70.0,,Orthodox,,73ef22f25d0f70e2
130,Felipe Arantes,68.0,73.0,Orthodox,,71002dbc1743b9a7
131,Igor Araujo,73.0,77.0,Orthodox,,dbea8c1cb327ab3d
132,Viviane Araujo,64.0,68.0,Orthodox,,36541f1e6c5d4955
133,Julio Arce,67.0,70.0,Southpaw,,1291edf2d566a71a
134,Art Arciniega,68.0,,,,d25e39e74efb0a77
135,Tristan Arenal,,,,,9c9455912d917e4e
136,Hashem Arkhagha,74.0,75.0,Orthodox,,9a7ffa80766caa51
137,Andrei Arlovski,75.0,77.0,Orthodox,,3738e68d2261e60f
138,Joey Armstrong,,,,,30ad2050273d016a
139,Austin Arnett,72.0,72.0,Orthodox,,bf0e700106d00e55
140,Ricardo Arona,71.0,,Orthodox,,05fbfe628658c538
141,Chalid Arrab,71.0,,Orthodox,1975-05-28,770b9d4813c25902
142,Akbarh Arreola,70.0,71.0,Southpaw,,c136b2a8852da5bd
143,Matt Arroyo,70.0,72.0,Orthodox,,de62052b2ede65ba
144,Antonio Arroyo,75.0,73.0,Orthodox,,61fb8098ccf81c7f
145,Gilles Arsene,69.0,,Southpaw,,2dea80c069847321
146,Veta Arteaga,67.0,,,,91e3388e69060e69
147,Cesar Arzamendia,71.0,,Orthodox,,49f78022126bf4a4
148,Teddy Ash,73.0,73.0,Switch,,a373085066dbfb54
149,Arman Ashimov,66.0,,,,d26a0988c9dc9886
150,Askar Askar,67.0,69.0,Orthodox,,2abc414136504554
151,Askar Askarov,66.0,67.0,Orthodox,,b1d19449397541dc
152,Cyril Asker,72.0,74.0,Orthodox,,9be6020024133293
153,Khusein Askhabov,68.0,,,,5c10da56d712ac9c
154,Scott Askham,75.0,75.0,Southpaw,1988-05-20,06827d70c53ff0d9
155,Ben Askren,71.0,73.0,Orthodox,,0b31f87be71ebbb1
156,Ibo Aslan,75.0,,,,6e8f1bcdda94ff45
157,Tom Aspinall,77.0,78.0,Orthodox,,399afbabc02376b5
158,Bruno Assis,74.0,,Orthodox,1992-05-23,ff222167cce02919
159,Junior Assuncao,69.0,72.0,Orthodox,,d0d7160824278840
160,Raphael Assuncao,65.0,66.0,Orthodox,,2f13e4020cea5b38
161,Bazigit Atajev,73.0,,Orthodox,,fd7acf42bd6e7e95
162,Rich Attonito,70.0,72.0,Orthodox,,210935fd21670f6d
163,Olivier Aubin-Mercier,69.0,70.0,Southpaw,,55ee431411ccf07a
164,Pat Audinwood,72.0,,Orthodox,,196ed28337adc630
165,Jose Augusto,75.0,,,,4d3b08ab127c7585
166,Marcus Aurelio,70.0,74.0,Orthodox,,04643fd03d9159cc
167,David Avellan,69.0,,Orthodox,,956dcac65e7b34d6
168,Blas Avena,72.0,74.0,Orthodox,,8753e125f4499816
169,Levi Avera,73.0,,,1982-05-17,ba5c6eeb8ef45f5c
170,Anthony Avila,67.0,,,,033d19259f589457
171,Chris Avila,70.0,,Orthodox,,4665cbf36b08193b
172,Julia Avila,67.0,68.0,Orthodox,1988-05-11,86d9dbe1bfcbade7
173,Saad Awad,71.0,,,,da603332ad41f165
174,Javy Ayala,73.0,,,,26387c19f32dda0f
175,Jessin Ayari,72.0,73.0,Orthodox,1992-05-31,6eaec40f724852f4
176,Abu Azaitar,69.0,76.0,Orthodox,,46d0a888d87d91ac
177,Ottman Azaitar,68.0,71.0,Switch,,ee18ff42063174df
178,Luiz Azeredo,69.0,,Orthodox,,063649e21bc9d6d5
179,Luciano Azevedo,75.0,,Orthodox,,9bcfb40dbcd50568
180,Hunter Azure,68.0,69.0,Orthodox,,2af2f2e26c4c0402
181,Niklas Backstrom,73.0,,Orthodox,,39cc64bf0a269db9
182,Seth Baczynski,75.0,75.0,Orthodox,,fd5b6598a3b70c0a
183,Ryan Bader,74.0,74.0,Orthodox,,c0ab242c40decc55
184,Izabela Badurek,65.0,,Orthodox,,4fcf6e0c4e0e6664
185,Miguel Baeza,74.0,74.0,Orthodox,,82d4c957649faf9b
186,Ali Bagautinov,64.0,65.0,Orthodox,,3dd92ff9fb0412b3
187,Mehdi Baghdad,73.0,,Orthodox,,e4d2564ea0e34e2b
188,Melsik Baghdasaryan,69.0,70.0,Southpaw,,a52bc1e62cf0b7c6
189,Siyar Bahadurzada,71.0,73.0,Orthodox,,aec185309b4843d0
190,Ignacio Bahamondes,75.0,75.0,Orthodox,,e4a47b07044ddd72
191,Shamar Bailey,69.0,75.0,Southpaw,,e2b8186b618b00c4
192,Jordan Bailey,69.0,,,,34dbcd4dbaf21a36
193,Scott Baker,72.0,,,,7d5b12de1625984e
194,Bryan Baker,75.0,,Orthodox,,898337ef520fe4d3
195,Jin Bala,69.0,,,,371efa53bd0cf669
196,Oluwale Bamgbose,71.0,78.0,Switch,,04b39f4e8eb59d7c
197,Stephen Banaszak,72.0,,,,4c4b44e3cf5815b3
198,Marcin Bandel,70.0,,Orthodox,,5c2ce761399dc9c5
199,Humberto Bandenay,71.0,71.0,Southpaw,,2c2caf2f2bab9df5
200,Tae Hyun Bang,69.0,71.0,Switch,,9a2d3567abc02e34
201,Yohan Banks,,,,,c50ea21fe9ef478d
202,Antonio Banuelos,65.0,63.0,Orthodox,,9ddfb3369a3b0394
203,Renan Barao,66.0,70.0,Orthodox,,2c99576fefe53c7c
204,Junior Barata,70.0,,Orthodox,,06dced58ca24a6bd
205,Maycee Barber,65.0,65.0,Switch,1998-05-18,6a740daf1b279661
206,Bryan Barberena,72.0,72.0,Southpaw,1989-05-03,a331233f597090a5
207,Edson Barboza,71.0,75.0,Orthodox,,64a50dad704d1d49
208,Raoni Barcelos,67.0,67.0,Orthodox,1987-05-01,b9f28e7045fdfce7
209,Daniel Barez,66.0,66.0,Orthodox,,e8fe9c15d348e778
210,Luke Barnatt,78.0,77.0,Orthodox,,172c2135e70f87b7
211,James Barnes,68.0,71.0,Orthodox,1982-05-28,c06a5c95f1169c0b
212,Nick Barnes,71.0,,,,78a5eea49638685d
213,Shonte Barnes,71.0,76.0,Southpaw,,e575b6ff678c1aca
214,Josh Barnett,75.0,78.0,Orthodox,,ad3f53c454cbbead
215,Chris Barnett,69.0,75.0,Orthodox,,7a5e8c94a86f9895
216,Chris Barnhizer,,,,,91e69a1c3c87325b
217,David Baron,66.0,,Switch,,80c0bed43da0e27b
218,Phil Baroni,69.0,72.0,Orthodox,,1652f3213655b935
219,Dan Barrera,69.0,,Orthodox,,f12f979b657ab876
220,Carlos Barreto,76.0,,Orthodox,,a220be6d41d6f97d
221,Jose Barreto,,,Southpaw,,c32eab6c2119e989
222,Peter Barrett,70.0,73.0,Southpaw,,d21113c9ff3788ae
223,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
224,David Barrios,66.0,,,,e6015889f50075d2
225,Alexandre Barros,69.0,,Southpaw,,8fd1f27e86661ede
226,Ricardo Barros,73.0,,,,d26394fc0e8e880a
227,Francimar Barroso,73.0,75.0,Orthodox,,b69f24c500d783e7
228,Pat Barry,71.0,74.0,Orthodox,,658c3465581ae46b
229,Dean Barry,,,,,a6f3d15cb84334bb
230,Enrique Barzola,67.0,70.0,Orthodox,,be0b310a12eb80b4
231,Javid Basharat,69.0,69.0,Orthodox,,bbab3baf66128ae2
232,Stephen Bass,69.0,,Orthodox,,1cecc8fe6748a532
233,Sean Bassett,,,,,2c733e059462c1dc
234,Ryan Bastianelli,65.0,,,,29508aff4d93cbbe
235,Shayna Baszler,67.0,,Orthodox,,8ef4a91ac694b7ce
236,Michel Batista,75.0,,Orthodox,,34218661c44ed55d
237,Bryan Battle,73.0,77.0,Orthodox,,f626118b6da0e020
238,Alan Baudot,75.0,79.0,Orthodox,,c9a94278df042f46
239,Mario Bautista,69.0,69.0,Switch,,bc711b6dd95c1af6
240,Chris Beal,67.0,69.0,Orthodox,,55f446032177b119
241,Rudy Bears,71.0,,Southpaw,,74f13066b1417ef3
242,Salvador Becerra,69.0,,,,4fd76e7ba8313457
243,Ariel Beck,66.0,66.0,Southpaw,,b96939f2b8d88e82
244,Jeff Bedard,66.0,,Orthodox,,93bf96be327fcd98
245,Eric Bedard,74.0,,,,ce05955c26c3c090
246,Johnny Bedford,70.0,71.0,Orthodox,,ffc3e6daaa6da0b7
247,Chase Beebe,67.0,67.0,Orthodox,,b16a7e6a627e9789
248,Lyle Beerbohm,70.0,,Southpaw,,babc6b5745335f18
249,Mirsad Bektic,68.0,70.0,Orthodox,,cbd3e590a85b18c5
250,Diana Belbita,67.0,68.0,Orthodox,,d7e40dca3ae125be
251,Alan Belcher,74.0,75.0,Orthodox,,4130a743d9d22163
252,Vitor Belfort,72.0,74.0,Southpaw,,0ee783aa00e468f0
253,Danilo Belluardo,72.0,74.0,Southpaw,,c3f6db17cea09ca7
254,Joey Beltran,73.0,75.0,Orthodox,,46baf0f57edfa4df
255,Marco Beltran,68.0,69.0,Orthodox,1986-05-18,ec71a892fada28c7
256,Joseph Benavidez,64.0,65.0,Southpaw,,80eacd4da0617c57
257,Mike Bencic,72.0,,Orthodox,,a71feb7ea7592a71
258,Dave Beneteau,74.0,,Orthodox,,9fd1f08dd4aec14a
259,Karla Benitez,63.0,,,,6104730621ff318d
260,Gabriel Benitez,68.0,71.0,Southpaw,,436f970c9ea9169c
261,Charles Bennett,68.0,,Orthodox,,8dc4f34c1f50d00d
262,Josh Bennett,76.0,,Orthodox,,c3ac8d0da7b05772
263,DeAnna Bennett,64.0,68.0,Orthodox,,404ecb2700844072
264,Lance Benoist,71.0,72.0,Southpaw,,5431dccc09118234
265,Joe Benoit,69.0,,Orthodox,,a30f6d375dea5f9b
266,Ryan Benoit,65.0,68.0,Orthodox,,20999e27ddd94bda
267,Pat Benson,69.0,,,,a25f3dc0df974597
268,Len Bentley,69.0,,,,592d23aed850e652
269,Steve Berger,71.0,,Orthodox,1973-05-20,21b1132949f2a9b0
270,Kenneth Bergh,74.0,74.0,Orthodox,,aa8189053b3a8994
271,Bret Bergmark,69.0,,,,2891c9f7b26b26fc
272,Keith Berish,72.0,,Orthodox,,e3779ef06e98f185
273,Dennis Bermudez,66.0,66.0,Orthodox,,6f242453c91a5af0
274,Manny Bermudez,70.0,71.0,Orthodox,,2dc1bc1a02961656
275,Talita Bernardo,64.0,68.0,Orthodox,,5b2325cd70dbe2ea
276,Dave Berry,,,,,b3bbe88fecd6a0d2
277,Keith Berry,73.0,,,,0b935b9bbbe5fc07
278,Dieusel Berto,69.0,,,,0db70ca89e1c7374
279,Edson Berto,66.0,,Orthodox,,66766984842c13dc
280,Allen Berube,68.0,,Orthodox,,aebfb84d1f6d2d8c
281,Anton Berzin,74.0,,Orthodox,,8ba8e8d7eafa7267
282,Scott Bessac,76.0,,,,3f24c96753dbd9f9
283,Matt Bessette,70.0,70.0,Orthodox,,0b8d512c79b4baf3
284,Khadzhi Bestaev,78.0,76.0,,,e05f4ce199baca91
285,Fernando Bettega,,,,,a524710c3ef918fa
286,Arjan Bhullar,73.0,75.0,Orthodox,1986-05-13,7e511f8d842a109d
287,KB Bhullar,76.0,78.0,Switch,,9cd047a828dd7515
288,Bibulatov Magomed,65.0,65.0,Orthodox,,87f19d19f4cb73f8
289,David Bielkheden,70.0,71.0,Orthodox,,1efa064872f089d0
290,Jonas Bilharinho,71.0,75.0,Switch,1990-05-22,ebbf571f349e79d9
291,Jeremiah Billington,69.0,,Orthodox,,b3b6e80b7d5f8f0d
292,Scott Bills,70.0,,,,53f02bbc41d99432
293,Anthony Birchak,68.0,69.0,Orthodox,1986-05-16,c5a126ace82a6025
294,Chris Birchler,75.0,,Switch,,8a22c6b4d29880a3
295,Michael Bisping,73.0,75.0,Orthodox,,2b93ebd9f5417ad2
296,Amaury Bitetti,69.0,,Orthodox,,7a359ef685a304a7
297,Caio Bittencourt,72.0,75.0,Orthodox,1991-05-22,a653cb5eb4b39339
298,Simon Biyong,,,,,27ab7257bf6a3b65
299,Jan Blachowicz,74.0,78.0,Orthodox,,99df7d0a2a08a8a8
300,Jason Black,68.0,,Orthodox,,b2f743746e8dcfa2
301,Brad Blackburn,70.0,73.0,Orthodox,1977-05-25,7e69a4b0961aa555
302,Jason Blackford,,,,,619d807fa54ae8f7
303,Tom Blackledge,,,Orthodox,,2adb11835acd815b
304,Sherrard Blackledge,71.0,75.0,Orthodox,,0e5c79b3594ff0ad
305,Erin Blanchfield,64.0,66.0,Orthodox,1999-05-04,669970f7feba8ecd
306,Maximo Blanco,68.0,71.0,Orthodox,,4a1329cc8eb0928a
307,David Blanco,67.0,,,,ebf298f8ac7e232b
308,Curtis Blaydes,76.0,80.0,Orthodox,,fa6796c55d6c5440
309,Arlene Blencowe,65.0,,,,35d6337320a4ae48
310,Byron Bloodworth,68.0,,Orthodox,,ecdf14f4f8643d39
311,Dashawn Boatwright,72.0,,Orthodox,,046a85108610c0d2
312,Dan Bobish,74.0,,Southpaw,,f348d05403fad037
313,Mark Bocek,68.0,75.0,Orthodox,,cf9d24e4bd0cf2ce
314,Kyle Bochniak,67.0,70.0,Orthodox,,c5af5750e8bae4f0
315,James Bochnovic,76.0,81.0,Orthodox,,984d15d5dc7bfcf9
316,Jeremy Boczulak,,,,,1afd74f8cb0719f3
317,Tim Boetsch,72.0,74.0,Orthodox,,c80095f6092271a7
318,Galore Bofando,71.0,72.0,Switch,1982-05-22,8a56ea383fd26e52
319,Jay Bogan,,,,,53c21779d84ceb75
320,Roman Bogatov,68.0,73.0,Orthodox,,d61316139d68dbe3
321,Derek Bohi,76.0,,,,70a1c7626b5e0599
322,Jerry Bohlander,71.0,,Orthodox,,93892752c5fc23ca
323,Mandy Bohm,67.0,71.0,Orthodox,,297a2b35444c245b
324,Kotetsu Boku,69.0,,Orthodox,1977-05-27,d227958e8a0c1466
325,Kyle Bolt,74.0,,,,9d455d5cfe6a0e35
326,Denys Bondar,66.0,69.0,Orthodox,,2526be54e6a0e62a
327,Luc Bondole,74.0,,,,8691881b31c16b88
328,Tony Bonello,74.0,,,,702a72aa7a266d86
329,Jesse Bongfeldt,72.0,,Orthodox,,934de214814b8ff4
330,Marcos Bonilla,70.0,,,,d311fbefff44a39b
331,Stephan Bonnar,76.0,79.0,Orthodox,,c6a33ff198aaaeeb
332,Rogerio Bontorin,65.0,67.0,Orthodox,,07a2bdaa0afdd831
333,Ray Borg,64.0,63.0,Orthodox,,a4de54ea806fb525
334,Igor Borisov,72.0,,Orthodox,,0313bf497de9c470
335,Calen Born,68.0,72.0,Switch,1988-05-24,3c85e04b08a05751
336,Caio Borralho,70.0,75.0,Southpaw,,4126a78111c0855a
337,Viacheslav Borshchev,71.0,69.0,Orthodox,,19c591115a58982c
338,Tanner Boser,74.0,75.0,Orthodox,,04c8b08b16a5b99e
339,Steve Bosse,71.0,72.0,Orthodox,,e023fa2e648ea0f1
340,Marcus Bossett,73.0,,Orthodox,,e8fb8e53bc2e29d6
341,Chris Bostick,,,,,239224bedeb2c7a4
342,Poliana Botelho,68.0,67.0,Orthodox,,5c126c6aac3ef364
343,Francois Botha,74.0,,Orthodox,,545d549d6bf87187
344,Gregory Bouchelaghem,74.0,,Switch,,59851163aaf1aed8
345,Roy Boughton,72.0,,,,2aaf0181432adf0b
346,Rich Bouphanouvong,67.0,,,,611b9c068c9e2c44
347,Mike Bourke,72.0,,Orthodox,,dfdd0c5dd0d4bc23
348,Jess Bouscal,,,,,38b1417ec17072da
349,Tai Bowden,71.0,,,,2efbc83a6b9b7f86
350,Melton Bowen,72.0,,Orthodox,,81ca2c245b19b3c5
351,Kyron Bowen,75.0,73.0,Orthodox,,5488b3c67600333a
352,Brian Bowles,67.0,70.0,Orthodox,,b26d3e3746fb4024
353,Roger Bowling,69.0,68.0,Orthodox,,3b9f723e2720a238
354,Blake Bowman,74.0,,,,a95a0504fd73bd3e
355,Ashe Bowman,69.0,,,,8a0a35e7c74bebcc
356,ColleyBradford,67.0,,,,1433786ac76cf777
357,Kyle Bradley,69.0,71.0,Orthodox,,a6959da32f0e6b5d
358,Paul Bradley,69.0,,Orthodox,,c7011de4765d2497
359,Sean Brady,70.0,72.0,Orthodox,,45f7cb591c3ab00b
360,Ebenezer Fontes Braga,72.0,,Orthodox,,dc950d59dc590aca
361,Ramiz Brahimaj,70.0,72.0,Orthodox,,3d074044a33825e7
362,Joe Brammer,68.0,,Orthodox,,013da757877044a2
363,David Branch,73.0,78.0,Orthodox,,d2c55d1d2e67773b
364,Diego Brandao,67.0,64.0,Orthodox,1987-05-27,c2e3e67b5911bfb7
365,Michael Bravo,,,,,dc63542668295c23
366,Martin Bravo,68.0,71.0,Southpaw,,9c44f290f5726d95
367,Mike Breeden,70.0,70.0,Orthodox,,d80ee110748171ac
368,Tom Breese,75.0,73.0,Southpaw,,1588b787bda7b540
369,Chris Brennan,68.0,,Orthodox,,b19fc66613dc75b9
370,Charlie Brenneman,70.0,70.0,Orthodox,,98f6da59d765ec94
371,Robert Breslin,71.0,,,,e319d6697d41f3cf
372,Mack Brewer,,,,,106a925d947a0de9
373,Marcos Brigagao,75.0,76.0,Southpaw,,11547e29f253fb89
374,Jason Brilz,71.0,71.0,Orthodox,,497ba5b12a4bfc47
375,Marcus Brimage,64.0,71.0,Southpaw,,81801f57bd0a7c41
376,Aaron Brink,75.0,,Orthodox,,cf1a88371c8cb690
377,Henry Briones,68.0,69.0,Orthodox,,01fcef7e3d051722
378,Marcelo Brito,73.0,,Orthodox,,3a97fda0de6f1fa4
379,Joanderson Brito,68.0,72.0,Orthodox,,791c8437b341fba5
380,Antwain Britt,73.0,77.0,,1978-05-09,2833f50b20e96e52
381,Drew Brokenshire,,,,,aa571d75f80fde7d
382,Mike Bronzoulis,72.0,,,,df3c39573d01f55b
383,Jonathan Brookins,72.0,74.0,Southpaw,,b0a6124751a56bc4
384,Will Brooks,70.0,72.0,Orthodox,,b6e6c3b1dcaae0a1
385,Jarred Brooks,63.0,62.0,Switch,1993-05-02,81d9df19e255b8b6
386,Rob Broughton,74.0,74.0,Orthodox,,a7d687e6ecb30981
387,Lee Brousseau,73.0,,,,0974d8d4053a7237
388,Matt Brown,72.0,75.0,Orthodox,,31123249b0bbf52e
389,Mike Brown,66.0,70.0,Orthodox,,e0b74df14f52cd15
390,Dominic Brown,71.0,,,,52b3ec072ad497a4
391,Todd Brown,71.0,,Orthodox,,9b68bf67c5695185
392,Terrell Brown,,,,,85df85a4e276c90e
393,Chris Brown,,,,,9e2624ac992660c6
394,Frederick Brown,72.0,,,,880c6b788266a3ef
395,Randy Brown,75.0,78.0,Orthodox,,c6aee362c7a7d482
396,Damien Brown,70.0,68.0,Orthodox,,d024ed963e8bf7ea
