fighter,height,reach,stance,dob,fighter_id
Sam Alvey,74.0,75.0,Southpaw,1986-05-06,d156513a19acf856
Andre Amado,72.0,,Orthodox,,20821819c401ced8
Adlan Amagov,74.0,76.0,Orthodox,,1e327b281ef6a745
Maiara Amanajas dos Santos,65.0,,Southpaw,,247fbbfafea60bb1
Chris Amarante,,,,,ee0b69e307c857e5
Jimmy Ambriz,74.0,,Southpaw,,c912f676692c353a
JJ Ambrose,70.0,,Orthodox,,d562b12b8fe88336
Alen Amedovski,70.0,74.0,Orthodox,,70fa1c64a2c439ef
Makwan Amirkhani,70.0,72.0,Southpaw,,87a1dc546b1c5caf
Bertrand Amoussou,68.0,,Orthodox,,53adf5b845d91e4a
Karl Amoussou,71.0,,Orthodox,,23a8c33869bf5392
Eryk Anders,73.0,75.0,Southpaw,,cad24459b28592ca
Matt Andersen,74.0,,Southpaw,1971-05-29,8738eacd62e82a32
Andy Anderson,66.0,,,,9199e0735b83dd32
Lowell Anderson,66.0,,Orthodox,,1ffc38f67785797b
Corey Anderson,75.0,79.0,Orthodox,,5e4eec08896c9423
Derek Anderson,72.0,,,,19ba965651486013
Megan Anderson,72.0,72.0,Orthodox,,a0e75f4a13eb73f1
Alex Andrade,71.0,,Orthodox,1974-05-14,1562b12763cc8d67
Jessica Andrade,61.0,62.0,Orthodox,,6a1901c62ab3870f
Viscardi Andrade,71.0,75.0,Orthodox,,d221ee27afc7a60e
Jermaine Andre,67.0,,Orthodox,,9bad58fa651d6196
Dylan Andrews,73.0,74.0,Switch,,00debc804e2b1cd4
Reese Andy,72.0,,Orthodox,,46e2ca71fd5089cb
Julius Anglickas,75.0,,Orthodox,,e20ad078a7d63361
Collin Anglin,69.0,71.0,Orthodox,,047a91d3d9c79b05
Chad Anheliger,66.0,64.0,Orthodox,,c7c39e2fb70248b3
Yoji Anjo,71.0,,Orthodox,,e06fd1260ac865a7
Magomed Ankalaev,75.0,75.0,Orthodox,,d802174b0c0c1f4e
Gadzhimurad Antigulov,71.0,70.0,Orthodox,,af997f7611673880
Adam Antolin,65.0,63.0,Orthodox,,25b31165758402dd
Angelo Antonio,,,Orthodox,,dbd198f780286aca
Azunna Anyanwu,73.0,,Orthodox,,78d48d3874dacafd
Shinsho Anzai,67.0,70.0,Orthodox,,4665f9f909cd7214
Shinya Aoki,71.0,,Southpaw,1983-05-09,79ded75550efc139
Aoriqileng,67.0,69.0,Orthodox,,7d420039bbfe7c1a
Josh Appelt,70.0,,Southpaw,,0c1a04afca64e38f
Erik Apple,72.0,,Orthodox,,1ccff7f0cfdf85eb
Kenji Arai,70.0,,Southpaw,,269d103c96a4c3a5
Romie Aram,70.0,,Orthodox,,73ef22f25d0f70e2
Felipe Arantes,68.0,73.0,Orthodox,,71002dbc1743b9a7
Igor Araujo,73.0,77.0,Orthodox,,dbea8c1cb327ab3d
Viviane Araujo,64.0,68.0,Orthodox,,36541f1e6c5d4955
Julio Arce,67.0,70.0,Southpaw,,1291edf2d566a71a
Art Arciniega,68.0,,,,d25e39e74efb0a77
Tristan Arenal,,,,,9c9455912d917e4e
Hashem Arkhagha,74.0,75.0,Orthodox,,9a7ffa80766caa51
Andrei Arlovski,75.0,77.0,Orthodox,,3738e68d2261e60f
Joey Armstrong,,,,,30ad2050273d016a
Austin Arnett,72.0,72.0,Orthodox,,bf0e700106d00e55
Ricardo Arona,71.0,,Orthodox,,05fbfe628658c538
Chalid Arrab,71.0,,Orthodox,1975-05-28,770b9d4813c25902
Akbarh Arreola,70.0,71.0,Southpaw,,c136b2a8852da5bd
Matt Arroyo,70.0,72.0,Orthodox,,de62052b2ede65ba
Antonio Arroyo,75.0,73.0,Orthodox,,61fb8098ccf81c7f
Gilles Arsene,69.0,,Southpaw,,2dea80c069847321
Veta Arteaga,67.0,,,,91e3388e69060e69
Cesar Arzamendia,71.0,,Orthodox,,49f78022126bf4a4
Teddy Ash,73.0,73.0,Switch,,a373085066dbfb54
Arman Ashimov,66.0,,,,d26a0988c9dc9886
Askar Askar,67.0,69.0,Orthodox,,2abc414136504554
Askar Askarov,66.0,67.0,Orthodox,,b1d19449397541dc
Cyril Asker,72.0,74.0,Orthodox,,9be6020024133293
Khusein Askhabov,68.0,,,,5c10da56d712ac9c
Scott Askham,75.0,75.0,Southpaw,1988-05-20,06827d70c53ff0d9
Ben Askren,71.0,73.0,Orthodox,,0b31f87be71ebbb1
Ibo Aslan,75.0,,,,6e8f1bcdda94ff45
Tom Aspinall,77.0,78.0,Orthodox,,399afbabc02376b5
Bruno Assis,74.0,,Orthodox,1992-05-23,ff222167cce02919
Junior Assuncao,69.0,72.0,Orthodox,,d0d7160824278840
Raphael Assuncao,65.0,66.0,Orthodox,,2f13e4020cea5b38
Bazigit Atajev,73.0,,Orthodox,,fd7acf42bd6e7e95
Rich Attonito,70.0,72.0,Orthodox,,210935fd21670f6d
Olivier Aubin-Mercier,69.0,70.0,Southpaw,,55ee431411ccf07a
Pat Audinwood,72.0,,Orthodox,,196ed28337adc630
Jose Augusto,75.0,,,,4d3b08ab127c7585
Marcus Aurelio,70.0,74.0,Orthodox,,04643fd03d9159cc
David Avellan,69.0,,Orthodox,,956dcac65e7b34d6
Blas Avena,72.0,74.0,Orthodox,,8753e125f4499816
Levi Avera,73.0,,,1982-05-17,ba5c6eeb8ef45f5c
Anthony Avila,67.0,,,,033d19259f589457
Chris Avila,70.0,,Orthodox,,4665cbf36b08193b
Julia Avila,67.0,68.0,Orthodox,1988-05-11,86d9dbe1bfcbade7
Saad Awad,71.0,,,,da603332ad41f165
Javy Ayala,73.0,,,,26387c19f32dda0f
Jessin Ayari,72.0,73.0,Orthodox,1992-05-31,6eaec40f724852f4
Abu Azaitar,69.0,76.0,Orthodox,,46d0a888d87d91ac
Ottman Azaitar,68.0,71.0,Switch,,ee18ff42063174df
Luiz Azeredo,69.0,,Orthodox,,063649e21bc9d6d5
Luciano Azevedo,75.0,,Orthodox,,9bcfb40dbcd50568
Hunter Azure,68.0,69.0,Orthodox,,2af2f2e26c4c0402
Niklas Backstrom,73.0,,Orthodox,,39cc64bf0a269db9
Seth Baczynski,75.0,75.0,Orthodox,,fd5b6598a3b70c0a
Ryan Bader,74.0,74.0,Orthodox,,c0ab242c40decc55
Izabela Badurek,65.0,,Orthodox,,4fcf6e0c4e0e6664
Miguel Baeza,74.0,74.0,Orthodox,,82d4c957649faf9b
Ali Bagautinov,64.0,65.0,Orthodox,,3dd92ff9fb0412b3
Mehdi Baghdad,73.0,,Orthodox,,e4d2564ea0e34e2b
Melsik Baghdasaryan,69.0,70.0,Southpaw,,a52bc1e62cf0b7c6
Siyar Bahadurzada,71.0,73.0,Orthodox,,aec185309b4843d0
Ignacio Bahamondes,75.0,75.0,Orthodox,,e4a47b07044ddd72
Shamar Bailey,69.0,75.0,Southpaw,,e2b8186b618b00c4
Jordan Bailey,69.0,,,,34dbcd4dbaf21a36
Scott Baker,72.0,,,,7d5b12de1625984e
Bryan Baker,75.0,,Orthodox,,898337ef520fe4d3
Jin Bala,69.0,,,,371efa53bd0cf669
Oluwale Bamgbose,71.0,78.0,Switch,,04b39f4e8eb59d7c
Stephen Banaszak,72.0,,,,4c4b44e3cf5815b3
Marcin Bandel,70.0,,Orthodox,,5c2ce761399dc9c5
Humberto Bandenay,71.0,71.0,Southpaw,,2c2caf2f2bab9df5
Tae Hyun Bang,69.0,71.0,Switch,,9a2d3567abc02e34
Yohan Banks,,,,,c50ea21fe9ef478d
Antonio Banuelos,65.0,63.0,Orthodox,,9ddfb3369a3b0394
Renan Barao,66.0,70.0,Orthodox,,2c99576fefe53c7c
Junior Barata,70.0,,Orthodox,,06dced58ca24a6bd
Maycee Barber,65.0,65.0,Switch,1998-05-18,6a740daf1b279661
Bryan Barberena,72.0,72.0,Southpaw,1989-05-03,a331233f597090a5
Edson Barboza,71.0,75.0,Orthodox,,64a50dad704d1d49
Raoni Barcelos,67.0,67.0,Orthodox,1987-05-01,b9f28e7045fdfce7
Daniel Barez,66.0,66.0,Orthodox,,e8fe9c15d348e778
Luke Barnatt,78.0,77.0,Orthodox,,172c2135e70f87b7
James Barnes,68.0,71.0,Orthodox,1982-05-28,c06a5c95f1169c0b
Nick Barnes,71.0,,,,78a5eea49638685d
Shonte Barnes,71.0,76.0,Southpaw,,e575b6ff678c1aca
Josh Barnett,75.0,78.0,Orthodox,,ad3f53c454cbbead
Chris Barnett,69.0,75.0,Orthodox,,7a5e8c94a86f9895
Chris Barnhizer,,,,,91e69a1c3c87325b
David Baron,66.0,,Switch,,80c0bed43da0e27b
Phil Baroni,69.0,72.0,Orthodox,,1652f3213655b935
Dan Barrera,69.0,,Orthodox,,f12f979b657ab876
Carlos Barreto,76.0,,Orthodox,,a220be6d41d6f97d
Jose Barreto,,,Southpaw,,c32eab6c2119e989
Peter Barrett,70.0,73.0,Southpaw,,d21113c9ff3788ae
Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
David Barrios,66.0,,,,e6015889f50075d2
Alexandre Barros,69.0,,Southpaw,,8fd1f27e86661ede
Ricardo Barros,73.0,,,,d26394fc0e8e880a
Francimar Barroso,73.0,75.0,Orthodox,,b69f24c500d783e7
Pat Barry,71.0,74.0,Orthodox,,658c3465581ae46b
Dean Barry,,,,,a6f3d15cb84334bb
Enrique Barzola,67.0,70.0,Orthodox,,be0b310a12eb80b4
Javid Basharat,69.0,69.0,Orthodox,,bbab3baf66128ae2
Stephen Bass,69.0,,Orthodox,,1cecc8fe6748a532
Sean Bassett,,,,,2c733e059462c1dc
Ryan Bastianelli,65.0,,,,29508aff4d93cbbe
Shayna Baszler,67.0,,Orthodox,,8ef4a91ac694b7ce
Michel Batista,75.0,,Orthodox,,34218661c44ed55d
Bryan Battle,73.0,77.0,Orthodox,,f626118b6da0e020
Alan Baudot,75.0,79.0,Orthodox,,c9a94278df042f46
Mario Bautista,69.0,69.0,Switch,,bc711b6dd95c1af6
Chris Beal,67.0,69.0,Orthodox,,55f446032177b119
Rudy Bears,71.0,,Southpaw,,74f13066b1417ef3
Salvador Becerra,69.0,,,,4fd76e7ba8313457
Ariel Beck,66.0,66.0,Southpaw,,b96939f2b8d88e82
Jeff Bedard,66.0,,Orthodox,,93bf96be327fcd98
Eric Bedard,74.0,,,,ce05955c26c3c090
Johnny Bedford,70.0,71.0,Orthodox,,ffc3e6daaa6da0b7
Chase Beebe,67.0,67.0,Orthodox,,b16a7e6a627e9789
Lyle Beerbohm,70.0,,Southpaw,,babc6b5745335f18
Mirsad Bektic,68.0,70.0,Orthodox,,cbd3e590a85b18c5
Diana Belbita,67.0,68.0,Orthodox,,d7e40dca3ae125be
Alan Belcher,74.0,75.0,Orthodox,,4130a743d9d22163
Vitor Belfort,72.0,74.0,Southpaw,,0ee783aa00e468f0
Danilo Belluardo,72.0,74.0,Southpaw,,c3f6db17cea09ca7
Joey Beltran,73.0,75.0,Orthodox,,46baf0f57edfa4df
Marco Beltran,68.0,69.0,Orthodox,1986-05-18,ec71a892fada28c7
Joseph Benavidez,64.0,65.0,Southpaw,,80eacd4da0617c57
Mike Bencic,72.0,,Orthodox,,a71feb7ea7592a71
Dave Beneteau,74.0,,Orthodox,,9fd1f08dd4aec14a
Karla Benitez,63.0,,,,6104730621ff318d
Gabriel Benitez,68.0,71.0,Southpaw,,436f970c9ea9169c
Charles Bennett,68.0,,Orthodox,,8dc4f34c1f50d00d
Josh Bennett,76.0,,Orthodox,,c3ac8d0da7b05772
DeAnna Bennett,64.0,68.0,Orthodox,,404ecb2700844072
Lance Benoist,71.0,72.0,Southpaw,,5431dccc09118234
Joe Benoit,69.0,,Orthodox,,a30f6d375dea5f9b
Ryan Benoit,65.0,68.0,Orthodox,,20999e27ddd94bda
Pat Benson,69.0,,,,a25f3dc0df974597
Len Bentley,69.0,,,,592d23aed850e652
Steve Berger,71.0,,Orthodox,1973-05-20,21b1132949f2a9b0
Kenneth Bergh,74.0,74.0,Orthodox,,aa8189053b3a8994
Bret Bergmark,69.0,,,,2891c9f7b26b26fc
Keith Berish,72.0,,Orthodox,,e3779ef06e98f185
Dennis Bermudez,66.0,66.0,Orthodox,,6f242453c91a5af0
Manny Bermudez,70.0,71.0,Orthodox,,2dc1bc1a02961656
Talita Bernardo,64.0,68.0,Orthodox,,5b2325cd70dbe2ea
Dave Berry,,,,,b3bbe88fecd6a0d2
Keith Berry,73.0,,,,0b935b9bbbe5fc07
Dieusel Berto,69.0,,,,0db70ca89e1c7374
Edson Berto,66.0,,Orthodox,,66766984842c13dc
Allen Berube,68.0,,Orthodox,,aebfb84d1f6d2d8c
Anton Berzin,74.0,,Orthodox,,8ba8e8d7eafa7267
Scott Bessac,76.0,,,,3f24c96753dbd9f9
Matt Bessette,70.0,70.0,Orthodox,,0b8d512c79b4baf3
Khadzhi Bestaev,78.0,76.0,,,e05f4ce199baca91
Fernando Bettega,,,,,a524710c3ef918fa
Arjan Bhullar,73.0,75.0,Orthodox,1986-05-13,7e511f8d842a109d
KB Bhullar,76.0,78.0,Switch,,9cd047a828dd7515
Bibulatov Magomed,65.0,65.0,Orthodox,,87f19d19f4cb73f8
David Bielkheden,70.0,71.0,Orthodox,,1efa064872f089d0
Jonas Bilharinho,71.0,75.0,Switch,1990-05-22,ebbf571f349e79d9
Jeremiah Billington,69.0,,Orthodox,,b3b6e80b7d5f8f0d
Scott Bills,70.0,,,,53f02bbc41d99432
Anthony Birchak,68.0,69.0,Orthodox,1986-05-16,c5a126ace82a6025
Chris Birchler,75.0,,Switch,,8a22c6b4d29880a3
Michael Bisping,73.0,75.0,Orthodox,,2b93ebd9f5417ad2
Amaury Bitetti,69.0,,Orthodox,,7a359ef685a304a7
Caio Bittencourt,72.0,75.0,Orthodox,1991-05-22,a653cb5eb4b39339
Simon Biyong,,,,,27ab7257bf6a3b65
Jan Blachowicz,74.0,78.0,Orthodox,,99df7d0a2a08a8a8
Jason Black,68.0,,Orthodox,,b2f743746e8dcfa2
Brad Blackburn,70.0,73.0,Orthodox,1977-05-25,7e69a4b0961aa555
Jason Blackford,,,,,619d807fa54ae8f7
Tom Blackledge,,,Orthodox,,2adb11835acd815b
Sherrard Blackledge,71.0,75.0,Orthodox,,0e5c79b3594ff0ad
Erin Blanchfield,64.0,66.0,Orthodox,1999-05-04,669970f7feba8ecd
Maximo Blanco,68.0,71.0,Orthodox,,4a1329cc8eb0928a
David Blanco,67.0,,,,ebf298f8ac7e232b
Curtis Blaydes,76.0,80.0,Orthodox,,fa6796c55d6c5440
Arlene Blencowe,65.0,,,,35d6337320a4ae48
Byron Bloodworth,68.0,,Orthodox,,ecdf14f4f8643d39
Dashawn Boatwright,72.0,,Orthodox,,046a85108610c0d2
Dan Bobish,74.0,,Southpaw,,f348d05403fad037
Mark Bocek,68.0,75.0,Orthodox,,cf9d24e4bd0cf2ce
Kyle Bochniak,67.0,70.0,Orthodox,,c5af5750e8bae4f0
James Bochnovic,76.0,81.0,Orthodox,,984d15d5dc7bfcf9
Jeremy Boczulak,,,,,1afd74f8cb0719f3
Tim Boetsch,72.0,74.0,Orthodox,,c80095f6092271a7
Galore Bofando,71.0,72.0,Switch,1982-05-22,8a56ea383fd26e52
Jay Bogan,,,,,53c21779d84ceb75
Roman Bogatov,68.0,73.0,Orthodox,,d61316139d68dbe3
Derek Bohi,76.0,,,,70a1c7626b5e0599
Jerry Bohlander,71.0,,Orthodox,,93892752c5fc23ca
Mandy Bohm,67.0,71.0,Orthodox,,297a2b35444c245b
Kotetsu Boku,69.0,,Orthodox,1977-05-27,d227958e8a0c1466
Kyle Bolt,74.0,,,,9d455d5cfe6a0e35
Denys Bondar,66.0,69.0,Orthodox,,2526be54e6a0e62a
Luc Bondole,74.0,,,,8691881b31c16b88
Tony Bonello,74.0,,,,702a72aa7a266d86
Jesse Bongfeldt,72.0,,Orthodox,,934de214814b8ff4
Marcos Bonilla,70.0,,,,d311fbefff44a39b
Stephan Bonnar,76.0,79.0,Orthodox,,c6a33ff198aaaeeb
Rogerio Bontorin,65.0,67.0,Orthodox,,07a2bdaa0afdd831
Ray Borg,64.0,63.0,Orthodox,,a4de54ea806fb525
Igor Borisov,72.0,,Orthodox,,0313bf497de9c470
Calen Born,68.0,72.0,Switch,1988-05-24,3c85e04b08a05751
Caio Borralho,70.0,75.0,Southpaw,,4126a78111c0855a
Viacheslav Borshchev,71.0,69.0,Orthodox,,19c591115a58982c
Tanner Boser,74.0,75.0,Orthodox,,04c8b08b16a5b99e
Steve Bosse,71.0,72.0,Orthodox,,e023fa2e648ea0f1
Marcus Bossett,73.0,,Orthodox,,e8fb8e53bc2e29d6
Chris Bostick,,,,,239224bedeb2c7a4
Poliana Botelho,68.0,67.0,Orthodox,,5c126c6aac3ef364
Francois Botha,74.0,,Orthodox,,545d549d6bf87187
Gregory Bouchelaghem,74.0,,Switch,,59851163aaf1aed8
Roy Boughton,72.0,,,,2aaf0181432adf0b
Rich Bouphanouvong,67.0,,,,611b9c068c9e2c44
Mike Bourke,72.0,,Orthodox,,dfdd0c5dd0d4bc23
Jess Bouscal,,,,,38b1417ec17072da
Tai Bowden,71.0,,,,2efbc83a6b9b7f86
Melton Bowen,72.0,,Orthodox,,81ca2c245b19b3c5
Kyron Bowen,75.0,73.0,Orthodox,,5488b3c67600333a
Brian Bowles,67.0,70.0,Orthodox,,b26d3e3746fb4024
Roger Bowling,69.0,68.0,Orthodox,,3b9f723e2720a238
Blake Bowman,74.0,,,,a95a0504fd73bd3e
Ashe Bowman,69.0,,,,8a0a35e7c74bebcc
ColleyBradford,67.0,,,,1433786ac76cf777
Kyle Bradley,69.0,71.0,Orthodox,,a6959da32f0e6b5d
Paul Bradley,69.0,,Orthodox,,c7011de4765d2497
Sean Brady,70.0,72.0,Orthodox,,45f7cb591c3ab00b
Ebenezer Fontes Braga,72.0,,Orthodox,,dc950d59dc590aca
Ramiz Brahimaj,70.0,72.0,Orthodox,,3d074044a33825e7
Joe Brammer,68.0,,Orthodox,,013da757877044a2
David Branch,73.0,78.0,Orthodox,,d2c55d1d2e67773b
Diego Brandao,67.0,64.0,Orthodox,1987-05-27,c2e3e67b5911bfb7
Michael Bravo,,,,,dc63542668295c23
Martin Bravo,68.0,71.0,Southpaw,,9c44f290f5726d95
Mike Breeden,70.0,70.0,Orthodox,,d80ee110748171ac
Tom Breese,75.0,73.0,Southpaw,,1588b787bda7b540
Chris Brennan,68.0,,Orthodox,,b19fc66613dc75b9
Charlie Brenneman,70.0,70.0,Orthodox,,98f6da59d765ec94
Robert Breslin,71.0,,,,e319d6697d41f3cf
Mack Brewer,,,,,106a925d947a0de9
Marcos Brigagao,75.0,76.0,Southpaw,,11547e29f253fb89
Jason Brilz,71.0,71.0,Orthodox,,497ba5b12a4bfc47
Marcus Brimage,64.0,71.0,Southpaw,,81801f57bd0a7c41
Aaron Brink,75.0,,Orthodox,,cf1a88371c8cb690
Henry Briones,68.0,69.0,Orthodox,,01fcef7e3d051722
Marcelo Brito,73.0,,Orthodox,,3a97fda0de6f1fa4
Joanderson Brito,68.0,72.0,Orthodox,,791c8437b341fba5
Antwain Britt,73.0,77.0,,1978-05-09,2833f50b20e96e52
Drew Brokenshire,,,,,aa571d75f80fde7d
Mike Bronzoulis,72.0,,,,df3c39573d01f55b
Jonathan Brookins,72.0,74.0,Southpaw,,b0a6124751a56bc4
Will Brooks,70.0,72.0,Orthodox,,b6e6c3b1dcaae0a1
Jarred Brooks,63.0,62.0,Switch,1993-05-02,81d9df19e255b8b6
Rob Broughton,74.0,74.0,Orthodox,,a7d687e6ecb30981
Lee Brousseau,73.0,,,,0974d8d4053a7237
Matt Brown,72.0,75.0,Orthodox,,31123249b0bbf52e
Mike Brown,66.0,70.0,Orthodox,,e0b74df14f52cd15
Dominic Brown,71.0,,,,52b3ec072ad497a4
Todd Brown,71.0,,Orthodox,,9b68bf67c5695185
Terrell Brown,,,,,85df85a4e276c90e
Chris Brown,,,,,9e2624ac992660c6
Frederick Brown,72.0,,,,880c6b788266a3ef
Randy Brown,75.0,78.0,Orthodox,,c6aee362c7a7d482
Damien Brown,70.0,68.0,Orthodox,,d024ed963e8bf7ea
TJ Brown,69.0,72.0,Switch,1990-05-22,d31cbcdd7d69536d
Humberto Brown Morrison,70.0,,,,e9e7e1c8ff289e1b
Travis Browne,78.0,79.0,Orthodox,,3236bf606fe9fa5b
Junie Browning,69.0,,Orthodox,1984-05-12,d74cba8566291bfa
Jules Bruchez,72.0,,Southpaw,,d1dcd4e96464a53d
Justin Bruckmann,69.0,,Orthodox,,5f8e00c27b7e7410
Cody Brundage,72.0,72.0,Orthodox,1994-05-16,f14f644d41ade29f
Steve Bruno,70.0,,Orthodox,,2f3f12002564bb55
Fernando Bruno,66.0,,,,b8c0f30ee9a98b69
Derek Brunson,73.0,77.0,Southpaw,,b1a3e0aca758b322
Josh Bryant,70.0,,Orthodox,,01f022fa494188e2
Dennis Bryant,72.0,,Orthodox,,3b17353b8002c7d0
Lukasz Brzeski,76.0,78.0,Orthodox,1992-05-17,0c25d0a5e8cdbf19
Justin Buchholz,72.0,73.0,Orthodox,,231926533134ec1f
Zak Bucia,70.0,,,,6bbb8dc6e128779e
Courtney Buck,70.0,,Orthodox,,3feed7d02711d8b7
Joaquin Buckley,70.0,76.0,Southpaw,,b9437600497350f3
Martin Buday,76.0,77.0,Orthodox,,8eb046f83e82bf26
Julia Budd,67.0,67.0,,,dcdc4503b9d49977
Mike Budnik,69.0,68.0,Orthodox,,b98209144b63ae26
Francisco Bueno,69.0,,Orthodox,,a72d260b436924c4
Mayra Bueno Silva,66.0,66.0,Orthodox,,cc8c623cca88f54f
Paul Buentello,74.0,77.0,Orthodox,,f0abbb6f3444dae7
Modestas Bukauskas,75.0,78.0,Switch,,476fe566d2df676e
