event,outcome,weightclass,method,round,time,fight_id,fighter1,fighter2,date,L_f1,W_f1,fights_f1,L_f2,W_f2,fights_f2,fighter_x,height_x,reach_x,stance_x,dob_x,fighter_id_x,fighter_y,height_y,reach_y,stance_y,dob_y,fighter_id_y
UFC 206: Holloway vs. Pettis,1.0,lw,sub,2,177,04f27a78e4ffce47,Olivier Aubin-Mercier,Drew Dober,2016-12-10,3.0,5.0,8.0,7.0,4.0,11.0,Olivier Aubin-Mercier,69.0,70.0,Southpaw,,55ee431411ccf07a,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC 195: Lawler vs Condit,0.0,lw,dec_una,3,300,99a7172fb7438244,Scott Holtzman,Drew Dober,2016-01-02,3.0,5.0,8.0,7.0,4.0,11.0,Scott Holtzman,69.0,69.0,Orthodox,,df1eb4354d18a906,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC 188: Velasquez vs Werdum,1.0,lw,sub,1,54,47e8726b301f3f32,Efrain Escudero,Drew Dober,2015-06-13,3.0,3.0,6.0,7.0,4.0,11.0,Efrain Escudero,69.0,71.0,Orthodox,,83fd97284f4bb4a4,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC on FOX: Dos Santos vs Miocic,0.0,lw,sub,1,112,deaeb2383bbd32bf,Jamie Varner,Drew Dober,2014-12-13,4.0,0.0,4.0,7.0,4.0,11.0,Jamie Varner,68.0,71.0,Orthodox,,a54fc2d6fc224dc3,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC Fight Night: Munoz vs Mousasi,1.0,lw,dec_una,3,300,042fee3d05e105fa,Nick Hein,Drew Dober,2014-05-31,2.0,4.0,6.0,7.0,4.0,11.0,Nick Hein,66.0,66.0,Southpaw,,2816ced060a21be3,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,1.0,ww,dec_una,3,300,64e1197b8d5d0706,Sean Spencer,Drew Dober,2013-11-30,1.0,1.0,2.0,7.0,4.0,11.0,Sean Spencer,70.0,74.0,Orthodox,,ab850a77a0fa487d,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC Fight Night: Dolidze vs. Imavov,1.0,ww,ko_tko,1,197,af6d56860ba4d259,Randy Brown,Muslim Salikhov,2024-02-03,3.0,7.0,10.0,3.0,4.0,7.0,Randy Brown,75.0,78.0,Orthodox,,c6aee362c7a7d482,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC Fight Night: Vettori vs. Cannonier,1.0,ww,dec_una,3,300,870672b1b443311e,Nicolas Dalby,Muslim Salikhov,2023-06-17,1.0,2.0,3.0,3.0,4.0,7.0,Nicolas Dalby,71.0,74.0,Orthodox,,9d19d9e4aa2662e8,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC Fight Night: Nzechukwu vs. Cutelaba,0.0,ww,ko_tko,3,63,c317f85a8266313e,Andre Fialho,Muslim Salikhov,2022-11-19,3.0,1.0,4.0,3.0,4.0,7.0,Andre Fialho,72.0,74.0,Orthodox,,33efaf2d0941cfcf,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC Fight Night: Ortega vs. Rodriguez,1.0,ww,ko_tko,2,278,dd456668731bd52a,Li Jingliang,Muslim Salikhov,2022-07-16,1.0,8.0,9.0,3.0,4.0,7.0,Li Jingliang,72.0,71.0,Orthodox,,e64b96c07d7ce999,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC Fight Night: Rozenstruik vs. Sakai,0.0,ww,dec_una,3,300,23b943e9ce495f0b,Francisco Trinaldo,Muslim Salikhov,2021-06-05,3.0,15.0,18.0,3.0,4.0,7.0,Francisco Trinaldo,69.0,70.0,Southpaw,,a8283a4f415e1eb9,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC 251: Usman vs. Masvidal,0.0,ww,dec_spl,3,300,ce7cd2ec773bea7f,Elizeu Zaleski dos Santos,Muslim Salikhov,2020-07-11,2.0,7.0,9.0,3.0,4.0,7.0,Elizeu Zaleski dos Santos,71.0,73.0,Orthodox,,8adcbd525fab8d9b,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC 242: Khabib vs. Poirier,0.0,ww,ko_tko,1,266,43496ff308e681a0,Nordine Taleb,Muslim Salikhov,2019-09-07,3.0,5.0,8.0,3.0,4.0,7.0,Nordine Taleb,73.0,74.0,Orthodox,,49858bf46dabf6fb,Muslim Salikhov,71.0,70.0,Orthodox,,447f9858ae78f921
UFC Fight Night: Dolidze vs. Imavov,0.0,wflw,dec_una,3,300,7b1882dc76786d77,Viviane Araujo,Natalia Silva,2024-02-03,2.0,2.0,4.0,0.0,3.0,3.0,Viviane Araujo,64.0,68.0,Orthodox,,36541f1e6c5d4955,Natalia Silva,64.0,,,,262d32ebda89efc4
UFC 292: Sterling vs. O'Malley,0.0,wflw,dec_una,3,300,8c7b5b21b3532027,Andrea Lee,Natalia Silva,2023-08-19,2.0,2.0,4.0,0.0,3.0,3.0,Andrea Lee,66.0,69.0,Orthodox,,05fa626cb33d15b8,Natalia Silva,64.0,,,,262d32ebda89efc4
UFC Fight Night: Kattar vs. Emmett,0.0,wflw,dec_una,3,300,2c7c7648e847f2e5,Jasmine Jasudavicius,Natalia Silva,2022-06-18,1.0,2.0,3.0,0.0,3.0,3.0,Jasmine Jasudavicius,67.0,68.0,Orthodox,,a9e260472d321361,Natalia Silva,64.0,,,,262d32ebda89efc4
UFC Fight Night: Dolidze vs. Imavov,1.0,wsw,sub,1,299,d4ace70b3661ee6c,Molly McCann,Diana Belbita,2024-02-03,3.0,6.0,9.0,3.0,0.0,3.0,Molly McCann,64.0,62.0,Orthodox,1990-05-04,51018a31ddf31eb2,Diana Belbita,67.0,68.0,Orthodox,,d7e40dca3ae125be
UFC Fight Night: Dawson vs. Green,1.0,wsw,dec_una,3,300,b6a6ba08898f3b6a,Karolina Kowalkiewicz,Diana Belbita,2023-10-07,4.0,6.0,10.0,3.0,0.0,3.0,Karolina Kowalkiewicz,63.0,64.0,Orthodox,,d7c3816669784109,Diana Belbita,67.0,68.0,Orthodox,,d7e40dca3ae125be
UFC Fight Night: Reyes vs. Weidman,1.0,wflw,dec_una,3,300,baf17e5e1fe1c744,Molly McCann,Diana Belbita,2019-10-18,3.0,6.0,9.0,3.0,0.0,3.0,Molly McCann,64.0,62.0,Orthodox,1990-05-04,51018a31ddf31eb2,Diana Belbita,67.0,68.0,Orthodox,,d7e40dca3ae125be
UFC Fight Night: Dolidze vs. Imavov,0.0,flw,dec_una,3,300,ca7d61e167d7789c,Azat Maksum,Charles Johnson,2024-02-03,1.0,0.0,1.0,2.0,1.0,3.0,Azat Maksum,,,,,7f1bf0c255ec8756,Charles Johnson,,,,,814e5233e2acf2ee
UFC Fight Night: Song vs. Simon,1.0,flw,dec_una,3,300,ca63933f8c898fa2,Cody Durden,Charles Johnson,2023-04-29,0.0,4.0,4.0,2.0,1.0,3.0,Cody Durden,67.0,67.0,Southpaw,,7f6ed67d3ed3c036,Charles Johnson,,,,,814e5233e2acf2ee
UFC Fight Night: Blaydes vs. Aspinall,1.0,flw,dec_una,3,300,2dbf9d8d6915711e,Muhammad Mokaev,Charles Johnson,2022-07-23,0.0,4.0,4.0,2.0,1.0,3.0,Muhammad Mokaev,69.0,,,,75353550928a7921,Charles Johnson,,,,,814e5233e2acf2ee
UFC Fight Night: Dolidze vs. Imavov,1.0,ww,ko_tko,1,32,4cff9aeef3ac75c1,Themba Gorimbo,Pete Rodriguez,2024-02-03,0.0,1.0,1.0,2.0,1.0,3.0,Themba Gorimbo,72.0,,,,40f3cb27fc7305a1,Pete Rodriguez,69.0,71.0,Switch,,776d4262c4da38bf
UFC Fight Night: Grasso vs. Araujo,0.0,ww,ko_tko,1,93,84b04e8d6b251c54,Mike Jackson,Pete Rodriguez,2022-10-15,1.0,0.0,1.0,2.0,1.0,3.0,Mike Jackson,74.0,,Orthodox,,0641c21bec209472,Pete Rodriguez,69.0,71.0,Switch,,776d4262c4da38bf
UFC 270: Ngannou vs. Gane,1.0,ww,ko_tko,1,179,0669231ebe3dd560,Jack Della Maddalena,Pete Rodriguez,2022-01-22,0.0,5.0,5.0,2.0,1.0,3.0,Jack Della Maddalena,71.0,73.0,Switch,,6b453bc35a823c3f,Pete Rodriguez,69.0,71.0,Switch,,776d4262c4da38bf
UFC Fight Night: Dolidze vs. Imavov,1.0,ftw,dec_una,3,300,e1930496b33fa636,JeongYeong Lee,Blake Bilder,2024-02-03,0.0,2.0,2.0,2.0,1.0,3.0,JeongYeong Lee,,,,,d008d785f6347dc2,Blake Bilder,68.0,,,,5095b0920a3602aa
UFC 289: Nunes vs. Aldana,1.0,ftw,dec_una,3,300,7ee8b91d7f80f8a7,Kyle Nelson,Blake Bilder,2023-06-10,1.0,1.0,2.0,2.0,1.0,3.0,Kyle Nelson,71.0,71.0,Switch,,31f8081c7600da93,Blake Bilder,68.0,,,,5095b0920a3602aa
UFC 284: Makhachev vs. Volkanovski,0.0,ftw,dec_una,3,300,5c962ea13cb9b937,Shane Young,Blake Bilder,2023-02-11,4.0,1.0,5.0,2.0,1.0,3.0,Shane Young,68.0,72.0,Orthodox,,4cd8b03aee1d0138,Blake Bilder,68.0,,,,5095b0920a3602aa
UFC Fight Night: Dolidze vs. Imavov,1.0,wflw,ko_tko,3,292,c28d40498150de90,Luana Carolina,Julija Stoliarenko,2024-02-03,0.0,2.0,2.0,4.0,2.0,6.0,Luana Carolina,66.0,69.0,Orthodox,,528b071cf3da7c56,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC Fight Night: Aspinall vs. Tybura,0.0,wflw,sub,1,115,743a04674ab72ee0,Molly McCann,Julija Stoliarenko,2023-07-22,3.0,6.0,9.0,4.0,2.0,6.0,Molly McCann,64.0,62.0,Orthodox,1990-05-04,51018a31ddf31eb2,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC 276: Adesanya vs. Cannonier,0.0,wbw,sub,1,42,0e2c7ec02a095813,Jessica-Rose Clark,Julija Stoliarenko,2022-07-02,5.0,2.0,7.0,4.0,2.0,6.0,Jessica-Rose Clark,65.0,64.0,Orthodox,,6c8072b61c276e67,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC Fight Night: Hermansson vs. Strickland,1.0,wbw,dec_una,3,300,673ed36fa5c12d5f,Alexis Davis,Julija Stoliarenko,2022-02-05,3.0,7.0,10.0,4.0,2.0,6.0,Alexis Davis,66.0,68.0,Orthodox,,4c2d90e335e6df19,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC Fight Night: Gane vs. Volkov,1.0,wbw,sub,3,259,0eac7075bf3d7ab7,Julia Avila,Julija Stoliarenko,2021-06-26,1.0,3.0,4.0,4.0,2.0,6.0,Julia Avila,67.0,68.0,Orthodox,1988-05-11,86d9dbe1bfcbade7,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC Fight Night: Lewis vs. Oleinik,1.0,wbw,dec_una,3,300,ad62675e819e92fc,Yana Kunitskaya,Julija Stoliarenko,2020-08-08,0.0,1.0,1.0,4.0,2.0,6.0,Yana Kunitskaya,66.0,68.0,Orthodox,,3143bf892608139a,Julija Stoliarenko,67.0,66.0,,,a78a87d8c2bbb1cb
UFC Fight Night: Dolidze vs. Imavov,0.0,hw,dec_una,3,300,df9847839c73a678,Thomas Petersen,Jamal Pogues,2024-02-03,1.0,0.0,1.0,1.0,2.0,3.0,Thomas Petersen,,,,,764d39074a352e33,Jamal Pogues,75.0,77.0,Orthodox,,f41b9f5efc7162d6
UFC Fight Night: Aspinall vs. Tybura,1.0,hw,dec_una,3,300,89b96bc5f3e824c5,Mick Parkin,Jamal Pogues,2023-07-22,0.0,2.0,2.0,1.0,2.0,3.0,,,,,,,Jamal Pogues,75.0,77.0,Orthodox,,f41b9f5efc7162d6
UFC Fight Night: Andrade vs. Blanchfield,0.0,hw,dec_una,3,300,3e90b7fd1e9f86bd,Josh Parisian,Jamal Pogues,2023-02-18,3.0,2.0,5.0,1.0,2.0,3.0,Josh Parisian,76.0,79.0,Orthodox,,b5da8f7d05e85a55,Jamal Pogues,75.0,77.0,Orthodox,,f41b9f5efc7162d6
UFC 297: Strickland vs. Du Plessis,1.0,ww,ko_tko,3,285,97817609ed46baa0,Neil Magny,Mike Malott,2024-01-20,6.0,15.0,21.0,1.0,1.0,2.0,Neil Magny,75.0,80.0,Orthodox,,84b3e7d38f2d2ec5,Mike Malott,73.0,73.0,Orthodox,,dd6103dd7127db1d
UFC 273: Volkanovski vs. The Korean Zombie,0.0,ww,ko_tko,1,221,7458a37feabf8788,Mickey Gall,Mike Malott,2022-04-09,1.0,4.0,5.0,1.0,1.0,2.0,Mickey Gall,74.0,74.0,Switch,,9e50097a89442158,Mike Malott,73.0,73.0,Orthodox,,dd6103dd7127db1d
UFC 297: Strickland vs. Du Plessis,1.0,mw,dec_spl,3,300,ba5005d1116fa45f,Chris Curtis,Marc-Andre Barriault,2024-01-20,1.0,3.0,4.0,4.0,2.0,6.0,Chris Curtis,70.0,75.0,Orthodox,,5442f1bc4b47eaf3,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC 285: Jones vs. Gane,0.0,mw,ko_tko,2,252,c29e2c49e1e417c8,Julian Marquez,Marc-Andre Barriault,2023-03-04,2.0,1.0,3.0,4.0,2.0,6.0,Julian Marquez,74.0,72.0,Orthodox,1990-05-08,d0e1b42d41dab603,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC Fight Night: Sandhagen vs. Song,1.0,mw,sub,3,113,ce5ebaf8caf8c4a7,Anthony Hernandez,Marc-Andre Barriault,2022-09-17,,,,4.0,2.0,6.0,Anthony Hernandez,72.0,75.0,Orthodox,,093e1f5bb73850be,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC Fight Night: Hermansson vs. Strickland,1.0,mw,ko_tko,1,16,f9ab966e63968c15,Chidi Njokuani,Marc-Andre Barriault,2022-02-05,2.0,2.0,4.0,4.0,2.0,6.0,Chidi Njokuani,75.0,80.0,Orthodox,,c68c68efaa5ca6ef,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC Fight Night: Brunson vs. Till,0.0,mw,dec_una,3,300,a7c38d4d66abf923,Dalcha Lungiambula,Marc-Andre Barriault,2021-09-04,2.0,2.0,4.0,4.0,2.0,6.0,Dalcha Lungiambula,68.0,76.0,Orthodox,,ce632027bf2a871b,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC Fight Night: Edgar vs. The Korean Zombie,1.0,mw,dec_una,3,300,b3bd27affa038e9c,Junyong Park,Marc-Andre Barriault,2019-12-21,,,,4.0,2.0,6.0,Junyong Park,70.0,73.0,Orthodox,,285ae0b4a68221f4,Marc-Andre Barriault,73.0,74.0,Orthodox,,8e9eb3fc86db0f7d
UFC 297: Strickland vs. Du Plessis,0.0,ftw,dec_una,3,300,1a7cd191f0cf160c,Arnold Allen,Movsar Evloev,2024-01-20,1.0,7.0,8.0,0.0,3.0,3.0,Arnold Allen,68.0,70.0,Southpaw,,040a74bb0a465c54,Movsar Evloev,67.0,72.0,Orthodox,,76e2870ffafbe38f
UFC Fight Night: Volkov vs. Rozenstruik,0.0,ftw,dec_una,3,300,aacb47949a572f25,Dan Ige,Movsar Evloev,2022-06-04,2.0,6.0,8.0,0.0,3.0,3.0,Dan Ige,67.0,71.0,Orthodox,,82a5152216251682,Movsar Evloev,67.0,72.0,Orthodox,,76e2870ffafbe38f
UFC Fight Night: Maia vs. Askren,0.0,ftw,dec_una,3,300,a4527094aa107b55,Enrique Barzola,Movsar Evloev,2019-10-26,3.0,3.0,6.0,0.0,3.0,3.0,Enrique Barzola,67.0,70.0,Orthodox,,be0b310a12eb80b4,Movsar Evloev,67.0,72.0,Orthodox,,76e2870ffafbe38f
UFC 297: Strickland vs. Du Plessis,0.0,bw,dec_una,3,300,670e4754d8d3d172,Brad Katona,Garrett Armfield,2024-01-20,3.0,2.0,5.0,1.0,1.0,2.0,Brad Katona,66.0,64.0,Orthodox,,7b433309b0fd12aa,Garrett Armfield,66.0,70.0,Orthodox,,1effd880e1f1bb30
UFC Fight Night: Dos Anjos vs. Fiziev,1.0,ftw,sub,2,193,a652918360fe9a72,David Onama,Garrett Armfield,2022-07-09,0.0,2.0,2.0,1.0,1.0,2.0,David Onama,71.0,74.0,Orthodox,,ffe9703408fb5964,Garrett Armfield,66.0,70.0,Orthodox,,1effd880e1f1bb30
UFC 297: Strickland vs. Du Plessis,0.0,ftw,dec_spl,3,300,331ddc1141e934d1,Charles Jourdain,Sean Woodson,2024-01-20,2.0,2.0,4.0,0.0,2.0,2.0,Charles Jourdain,69.0,69.0,Switch,,f1d64ae34e088832,Sean Woodson,74.0,78.0,Orthodox,,4682bc59d5f55145
UFC Fight Night: Reyes vs. Weidman,0.0,ftw,dec_una,3,300,9c3fb95a1558b38d,Kyle Bochniak,Sean Woodson,2019-10-18,2.0,1.0,3.0,0.0,2.0,2.0,Kyle Bochniak,67.0,70.0,Orthodox,,c5af5750e8bae4f0,Sean Woodson,74.0,78.0,Orthodox,,4682bc59d5f55145
UFC 297: Strickland vs. Du Plessis,0.0,bw,dec_spl,3,300,43d90683078fcee5,Serhiy Sidey,Ramon Taveras,2024-01-20,1.0,0.0,1.0,0.0,1.0,1.0,Serhiy Sidey,,,,,1a2bf44edb8055b6,Ramon Taveras,,,,,c5ccd878231c5407
UFC 297: Strickland vs. Du Plessis,1.0,wsw,ko_tko,2,192,dff2685afd98ed9e,Gillian Robertson,Polyana Viana,2024-01-20,2.0,7.0,9.0,2.0,1.0,3.0,Gillian Robertson,65.0,63.0,Orthodox,1995-05-17,38c7f72747f4f712,Polyana Viana,65.0,67.0,Orthodox,,9673a497a9da119a
UFC Fight Night: Shevchenko vs. Carmouche 2,1.0,wflw,sub,1,69,494042bf96730bc0,Veronica Macedo,Polyana Viana,2019-08-10,3.0,1.0,4.0,2.0,1.0,3.0,Veronica Macedo,64.0,64.0,Southpaw,,4798e823ada58fe9,Polyana Viana,65.0,67.0,Orthodox,,9673a497a9da119a
UFC Fight Night: Machida vs. Anders,0.0,wsw,sub,1,230,7bfb92f7ea59dbbd,Maia Stevenson,Polyana Viana,2018-02-03,1.0,0.0,1.0,2.0,1.0,3.0,Maia Stevenson,64.0,62.0,Orthodox,,2fee10d5cf86bfca,Polyana Viana,65.0,67.0,Orthodox,,9673a497a9da119a
UFC 297: Strickland vs. Du Plessis,0.0,ww,sub,1,123,a10e2d5416972b9c,Yohan Lainesse,Sam Patterson,2024-01-20,1.0,0.0,1.0,0.0,1.0,1.0,Yohan Lainesse,73.0,76.0,Orthodox,,f998f5c102250d6e,Sam Patterson,76.0,,,,8b6e5dc2ba1edbe7
UFC 297: Strickland vs. Du Plessis,1.0,wbw,sub,3,261,7736eb6bd5c1ff4a,Jasmine Jasudavicius,Priscila Cachoeira,2024-01-20,1.0,2.0,3.0,6.0,2.0,8.0,Jasmine Jasudavicius,67.0,68.0,Orthodox,,a9e260472d321361,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC 291: Poirier vs. Gaethje 2,1.0,wflw,sub,3,131,74fef059e229d217,Miranda Maverick,Priscila Cachoeira,2023-07-29,3.0,2.0,5.0,6.0,2.0,8.0,Miranda Maverick,63.0,65.0,Southpaw,,f29a6350c69f4a33,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC Fight Night: Makhachev vs. Green,0.0,wflw,dec_una,3,300,c4eb14c3de579842,Ji Yeon Kim,Priscila Cachoeira,2022-02-26,5.0,1.0,6.0,6.0,2.0,8.0,Ji Yeon Kim,67.0,72.0,Orthodox,,a20f234df70f2182,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC 269: Oliveira vs. Poirier,1.0,wflw,sub,1,299,505397f405e40206,Gillian Robertson,Priscila Cachoeira,2021-12-11,2.0,7.0,9.0,6.0,2.0,8.0,Gillian Robertson,65.0,63.0,Orthodox,1995-05-17,38c7f72747f4f712,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC 262: Oliveira vs. Chandler,0.0,wflw,ko_tko,2,291,bfd672cac0726a9a,Gina Mazany,Priscila Cachoeira,2021-05-15,3.0,1.0,4.0,6.0,2.0,8.0,Gina Mazany,66.0,68.0,Southpaw,,016a8d958883167c,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC 237: Namajunas vs. Andrade,1.0,wflw,dec_una,3,300,707cb14717df5960,Luana Carolina,Priscila Cachoeira,2019-05-11,0.0,2.0,2.0,6.0,2.0,8.0,Luana Carolina,66.0,69.0,Orthodox,,528b071cf3da7c56,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC Fight Night: Till vs. Masvidal,1.0,wflw,dec_una,3,300,a2f4acc81f7886a2,Molly McCann,Priscila Cachoeira,2019-03-16,3.0,6.0,9.0,6.0,2.0,8.0,Molly McCann,64.0,62.0,Orthodox,1990-05-04,51018a31ddf31eb2,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC Fight Night: Machida vs. Anders,1.0,wflw,sub,2,265,10f5bb70feb1df53,Valentina Shevchenko,Priscila Cachoeira,2018-02-03,0.0,2.0,2.0,6.0,2.0,8.0,Valentina Shevchenko,65.0,66.0,Southpaw,,132deb59abae64b1,Priscila Cachoeira,67.0,65.0,Orthodox,,b1e5bcaad32a3cac
UFC 297: Strickland vs. Du Plessis,0.0,flw,sub,2,77,ab105e5a56b5ee90,Malcolm Gordon,Jimmy Flick,2024-01-20,2.0,1.0,3.0,1.0,1.0,2.0,Malcolm Gordon,67.0,71.0,Switch,1990-05-19,dee294e9717012c2,Jimmy Flick,67.0,68.0,Orthodox,,09e62c450e754913
UFC Fight Night: Strickland vs. Imavov,1.0,flw,ko_tko,1,273,b6723b9c6ff4d594,Charles Johnson,Jimmy Flick,2023-01-14,1.0,2.0,3.0,1.0,1.0,2.0,Charles Johnson,,,,,814e5233e2acf2ee,Jimmy Flick,67.0,68.0,Orthodox,,09e62c450e754913
UFC Fight Night: Ankalaev vs. Walker 2,1.0,lhw,ko_tko,2,162,f2b407019b2a5c15,Magomed Ankalaev,Johnny Walker,2024-01-13,0.0,7.0,7.0,3.0,4.0,7.0,Magomed Ankalaev,75.0,75.0,Orthodox,,d802174b0c0c1f4e,Johnny Walker,78.0,82.0,Orthodox,,c21f26bbde777573
UFC Fight Night: Rozenstruik vs. Almeida,0.0,lhw,dec_una,3,300,c501576b8ec35758,Anthony Smith,Johnny Walker,2023-05-13,4.0,5.0,9.0,3.0,4.0,7.0,Anthony Smith,76.0,76.0,Orthodox,,d4c9dcd330403612,Johnny Walker,78.0,82.0,Orthodox,,c21f26bbde777573
UFC 283: Teixeira vs. Hill,0.0,lhw,ko_tko,1,136,2d1ac675e6c1e6ea,Paul Craig,Johnny Walker,2023-01-21,2.0,4.0,6.0,3.0,4.0,7.0,Paul Craig,75.0,76.0,Orthodox,,eabf206b162b3b83,Johnny Walker,78.0,82.0,Orthodox,,c21f26bbde777573
UFC Fight Night: Santos vs. Walker,1.0,lhw,dec_una,5,300,37c484012ef24a5b,Thiago Santos,Johnny Walker,2021-10-02,5.0,9.0,14.0,3.0,4.0,7.0,Thiago Santos,74.0,76.0,Orthodox,,dea070ed4a2a8281,Johnny Walker,78.0,82.0,Orthodox,,c21f26bbde777573
UFC 244: Masvidal vs. Diaz,1.0,lhw,ko_tko,1,127,a2af14e9dba37b03,Corey Anderson,Johnny Walker,2019-11-02,2.0,5.0,7.0,3.0,4.0,7.0,Corey Anderson,75.0,79.0,Orthodox,,5e4eec08896c9423,Johnny Walker,78.0,82.0,Orthodox,,c21f26bbde777573
